"22781","MONS-EN-BAROEUL","59370","22100"
"22795","SIN-LE-NOBLE","59450","16500"
"22813","LOOS","59120","21400"
"22841","HALLUIN","59250","19900"
"22863","VALENCIENNES","59300","42700"
"22867","LA MADELEINE","59110","22200"
"22929","HAZEBROUCK","59190","21700"
"23004","MAUBEUGE","59600","32400"
"23015","TOURCOING","59200","92600"
"23036","COUDEKERQUE-BRANCHE","59210","22800"
"23070","CROIX","59170","20800"
"23084","RONCHIN","59790","18300"
"23100","DUNKERQUE","59140-59240-59430-59640-59279","93600"
"23130","SAINT-AMAND-LES-EAUX","59230","16700"
"23131","DOUAI","59500","42400"
"23171","ARMENTIERES","59280","25000"
"23173","WASQUEHAL","59290","19000"
"23191","LAMBERSART","59130","28000"
"23201","CAMBRAI","59400","32300"
"23204","MARCQ-EN-BAROEUL","59700","38900"
"23220","DENAIN","59220","20200"
"23233","HEM","59510","17700"
"23253","GRANDE-SYNTHE","59760","21000"
"23269","FACHES-THUMESNIL","59155","16700"
"23431","COMPIEGNE","60200","41600"
"23494","NOGENT-SUR-OISE","60180","19600"
"23606","SENLIS","60300","16300"
"23715","CREIL","60100","34600"
"23901","BEAUVAIS","60155","55000"
"24174","FLERS","61100","15700"
"24403","ALENCON","61000","27700"
"24717","LIEVIN","62800","32000"
"24741","HENIN-BEAUMONT","62110","25600"
"24859","ARRAS","62000","42800"
"24999","CALAIS","62100","74800"
"25018","BOULOGNE-SUR-MER","62200","43800"
"25053","BETHUNE","62400","25700"
"25103","CARVIN","62220","17400"
"25160","BRUAY-LA-BUISSIERE","62700","23700"
"25236","AVION","62210","17600"
"25373","LENS","62300","36100"
"25393","BERCK","62600","15100"
"25445","COURNON-D'AUVERGNE","63800","19100"
"25485","CLERMONT-FERRAND","63000-63100","139000"
"25542","CHAMALIERES","63400","17100"
"25690","RIOM","63200","17800"
"26044","PAU","64000","84000"
"26145","BAYONNE","64100","44500"
"26152","BIARRITZ","64200","26300"
"26332","ANGLET","64600","37900"
"26761","TARBES","65000","44200"
"26882","LOURDES","65100","15400"
"27144","PERPIGNAN","66000-66100","116700"
"27304","STRASBOURG","67000-67100-67200","272100"
"27384","BISCHHEIM","67800","17700"
"27423","SCHILTIGHEIM","67300","31100"
"27471","ILLKIRCH-GRAFFENSTADEN","67400","26700"
"27476","SELESTAT","67600","19300"
"27581","HAGUENAU","67500","35100"
"27642","LINGOLSHEIM","67380","16800"
"27682","COLMAR","68000","66900"
"27789","SAINT-LOUIS","68128","19900"
"28049","MULHOUSE","68100-68200","111900"
"28053","OULLINS","69600","25700"
"28080","VENISSIEUX","69200","57600"
"28090","VILLEFRANCHE-SUR-SAONE","69400","34200"
"28091","TASSIN-LA-DEMI-LUNE","69160","18600"
"28114","CALUIRE-ET-CUIRE","69300","40900"
"28135","SAINT-FONS","69190","17100"
"28142","SAINT-GENIS-LAVAL","69230","20100"
"28153","LYON","69001-69002-69003-69004-69005-69006-69007-69008-69009","474900"
"28159","SAINT-PRIEST","69800","41500"
"28173","VAULX-EN-VELIN","69120","40400"
"28208","VILLEURBANNE","69100","141100"
"28250","MEYZIEU","69330","29500"
"28269","BRON","69500","39100"
"28270","RILLIEUX-LA-PAPE","69140","29600"
"28274","ECULLY","69130","18000"
"28287","DECINES-CHARPIEU","69150","24800"
"28334","GIVORS","69700","19500"
"28339","SAINTE-FOY-LES-LYON","69110","22200"
"28528","VESOUL","70000","16300"
"29049","LE CREUSOT","71200","23200"
"29065","MONTCEAU-LES-MINES","71300","19700"
"29240","MACON","71870","34300"
"29255","CHALON-SUR-SAONE","71100","46000"
"29483","LE MANS","72000-72100","143500"
"29785","LA FLECHE","72200","15400"
"29842","AIX-LES-BAINS","73100","27100"
"29922","ALBERTVILLE","73200","18500"
"29963","CHAMBERY","73000","56800"
"30167","SEYNOD","74600","17900"
"30171","ANNECY","74000","50100"
"30280","THONON-LES-BAINS","74200","32800"
"30293","ANNECY-LE-VIEUX","74940","19800"
"30305","CRAN-GEVRIER","74960","16400"
"30337","SALLANCHES","74700","15600"
"30374","ANNEMASSE","74100","30500"
"30429","CLUSES","74300","18000"
"30438","PARIS","75001-75002-75003-75004-75005-75006-75007-75008-75009-75010-75011-75012-75013-75014-75015-75016-75017-75018-75019-75020-75116","2211000"
"30531","LE PETIT-QUEVILLY","76140","21900"
"30645","LE GRAND-QUEVILLY","76120","25800"
"30669","ELBEUF","76500","17200"
"30809","SAINT-ETIENNE-DU-ROUVRAY","76800","28100"
"30899","ROUEN","76000-76100","109400"
"30980","MONT-SAINT-AIGNAN","76130","20000"
"30993","DIEPPE","76200","33600"
"31000","MONTIVILLIERS","76290","16300"
"31005","SOTTEVILLE-LES-ROUEN","76300","30000"
"31101","FECAMP","76400","19400"
"31166","LE HAVRE","76600-76610-76620","178800"
"31289","MOISSY-CRAMAYEL","77550","17200"
"31311","LAGNY-SUR-MARNE","77400","20200"
"31337","CHAMPS-SUR-MARNE","77420","24100"
"31363","CHELLES","77500","52800"
"31366","TORCY","77200","21900"
"31373","DAMMARIE-LES-LYS","77190","20100"
"31374","ROISSY-EN-BRIE","77680","22200"
"31378","FONTAINEBLEAU","77300","15400"
"31388","MEAUX","77100","48700"
"31399","BRIE-COMTE-ROBERT","77170","15900"
"31425","MONTEREAU-FAULT-YONNE","77130","16300"
"31434","COMBS-LA-VILLE","77380","21300"
"31439","PONTAULT-COMBAULT","77340","34800"
"31507","OZOIR-LA-FERRIERE","77330","20500"
"31511","NOISIEL","77186","15600"
"31574","BUSSY-SAINT-GEORGES","77600","21100"
"31607","MELUN","77000","38900"
"31610","SAVIGNY-LE-TEMPLE","77176","27800"
"31616","LE MEE-SUR-SEINE","77350","20800"
"31645","MITRY-MORY","77290","18500"
"31668","VILLEPARISIS","77270","23900"
"31714","RAMBOUILLET","78120","25800"
"31716","MONTESSON","78360","15100"
"31718","LE VESINET","78110","16300"
"31719","MAISONS-LAFFITTE","78600","22600"
"31721","MAUREPAS","78310","18800"
"31742","HOUILLES","78800","30900"
"31755","LES MUREAUX","78130","32300"
"31759","SARTROUVILLE","78500","51400"
"31783","ACHERES","78260","19700"
"31800","POISSY","78300","37500"
"31804","MARLY-LE-ROI","78160","16900"
"31807","CARRIERES-SUR-SEINE","78420","15400"
"31815","VERNEUIL-SUR-SEINE","78480","15400"
"31826","PLAISIR","78370","30800"
"31830","MANTES-LA-VILLE","78200","18900"
"31849","SAINT-CYR-L'ECOLE","78210","17600"
"31856","VERSAILLES","78000","86700"
"31859","GUYANCOURT","78280","28600"
"31862","CHATOU","78400","29900"
"31865","TRAPPES","78190","28500"
"31875","LE CHESNAY","78150","29300"
"31886","CONFLANS-SAINTE-HONORINE","78700","34800"
"31892","MANTES-LA-JOLIE","78200","42600"
"31896","SAINT-GERMAIN-EN-LAYE","78100","40900"
"31904","LES CLAYES-SOUS-BOIS","78340","17200"
"31906","LE PECQ","78230","16400"
"31912","MONTIGNY-LE-BRETONNEUX","78180","34000"
"31914","ELANCOURT","78990","27300"
"31924","VIROFLAY","78220","16100"
"31927","LIMAY","78520","16000"
"31934","LA CELLE-SAINT-CLOUD","78170","20900"
"31937","VELIZY-VILLACOUBLAY","78140","20000"
"32004","NIORT","79000","58100"
"32121","BRESSUIRE","79300","18600"
"32515","ABBEVILLE","80132","24100"
"32933","AMIENS","80000-80080-80090","134400"
"33056","ALBI","81990","48800"
"33335","CASTRES","81100","43000"
"33557","MONTAUBAN","82000","56000"
"33591","LA GARDE","83130","26200"
"33593","SANARY-SUR-MER","83110","17100"
"33595","HYERES","83400","55100"
"33596","LA VALETTE-DU-VAR","83160","21400"
"33638","SIX-FOURS-LES-PLAGES","83140","34800"
"33644","DRAGUIGNAN","83300","36600"
"33654","FREJUS","83600-83370","52700"
"33668","LA CRAU","83260","16400"
"33677","TOULON","83000-83100-83200","166700"
"33687","BRIGNOLES","83170","15900"
"33688","SAINT-RAPHAEL","83700-83530","34000"
"33711","LA SEYNE-SUR-MER","83500","60000"
"33738","LE PONTET","84130","16900"
"33744","CAVAILLON","84300","25400"
"33764","SORGUES","84700","18200"
"33795","L'ISLE-SUR-LA-SORGUE","84800","18900"
"33807","CARPENTRAS","84200","29000"
"33837","ORANGE","84100","29500"
"33838","AVIGNON","84000","90100"
"33847","PERTUIS","84120","18900"
"33983","CHALLANS","85300","18300"
"34018","LA ROCHE-SUR-YON","85000","51700"
"34243","POITIERS","86000","89300"
"34354","CHATELLERAULT","86100","33500"
"34488","LIMOGES","87000-87100-87280","140100"
"34755","EPINAL","88000","33000"
"34990","SAINT-DIE-DES-VOSGES","88100","21700"
"35522","SENS","89100","25900"
"35570","AUXERRE","89000-89290","36900"
"35607","BELFORT","90000","50300"
"35706","BRUNOY","91800","25600"
"35712","EVRY","91090","52500"
"35717","DRAVEIL","91210","28700"
"35720","GRIGNY","91350","27200"
"35728","RIS-ORANGIS","91000","27000"
"35730","PALAISEAU","91120","30400"
"35742","VERRIERES-LE-BUISSON","91370","15700"
"35748","SAINT-MICHEL-SUR-ORGE","91240","20200"
"35763","VIGNEUX-SUR-SEINE","91270","27000"
